Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2019-07-12 17:21:50""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Lūdzu nogreiderēt ceļu Veismaņi - Krīvi. Šoreiz lūdzu greiderēt dziļāku kārtu, jo iepriekšējās reizes bedres vienalga bija jūtamas.;Cēsu novada Komunālā nodaļa;70h 56m 56s;Izpildītie
"﻿""2019-07-12 19:40:07""";Sabiedriskā kārtība;Bērni;Sniega sanesumi apgrūtina redzamību;Lekšana no skolas ēdnīcas jumta, bīstama uzvedība.;Cēsu novada Pašvaldības policija;01h 44m 01s;Izpildītie
"﻿""2019-07-12 20:06:43""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;uz perona guļ cilvēks! stacijā.;Cēsu novada Pašvaldības policija;01h 13m 57s;Izpildītie
"﻿""2019-07-13 09:45:20""";Sabiedriskā kārtība;Dzīvnieki;Bojāta sadalošā barjera;Dienas laikā pa pagalmu skraida lapsa, ar noplukušu spalvu, vai nevar būt slima ar trakumsērgu? ;Cēsu novada Pašvaldības policija;53h 29m 18s;Izpildītie
"﻿""2019-07-13 15:35:10""";Sabiedriskā kārtība;Dzīvnieki;Bojāta sadalošā barjera;Ķiršu iela 1 rajonā kašķa nomocīta (kožoka gandrīz vairs nav) lapsa pastaigājas. ;Cēsu novada Pašvaldības policija;48h 25m 29s;Izpildītie
"﻿""2019-07-13 16:47:08""";Ielas un ceļi;Ceļa segums;;Sveiki, pēc lietiem Mūrlejas iela ļoti bedraina, ir izveidojušās arī dziļas un ļoti nepatīkamas bedres.;Cēsu novada Komunālā nodaļa;46h 29m 15s;Izpildītie
"﻿""2019-07-14 15:39:17""";Ielas un ceļi;Ceļa nomale;;Dziļa bedre apmēram 1 metrs, kāds iekritīs, salauzīs kāju...... Lapsu ielas un Piebalgas ielu krustojumā zaļā zonā;Cēsu novada Komunālā nodaļa;23h 30m 21s;Izpildītie
"﻿""2019-07-15 14:19:02""";Sabiedriskā kārtība;Dzīvnieki;;Klejojoša lapsa (noplukušu asti, slimīga izskata) Leona Paegles ielā virzienā uz Vāveres ielu aizskrēja;Cēsu novada Pašvaldības policija;00h 12m 37s;Izpildītie
"﻿""2019-07-15 14:29:28""";Sabiedriskā kārtība;Dzīvnieki;;Pie Rožu laukuma skraida noplukusi lapsa.;Cēsu novada Pašvaldības policija;00h 04m 31s;Izpildītie
"﻿""2019-07-15 17:15:12""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;kad tiks noasfaltēts? būvniecība sen beigusies...;Cēsu novada Komunālā nodaļa;00h 30m 54s;Izpildītie
"﻿""2019-07-16 14:43:24""";Auto novietošana;Neatļauta novietošana;;Uz gàjēju ietves un zaļā zonā . ;Cēsu novada Pašvaldības policija;01h 15m 40s;Izpildītie
"﻿""2019-07-19 09:44:11""";Auto novietošana;Neatļauta novietošana;;Vai status “izpildīts” nozīmē ka transportlīdzekļa īpašnieks tika saukts pie adm.atbildības un viņam tika piemērots naudas sods?;Cēsu novada Pašvaldības policija;00h 44m 52s;Izpildītie
"﻿""2019-07-19 10:39:45""";Auto novietošana;Neatļauta novietošana;;Atbraukt un sodit ;Cēsu novada Pašvaldības policija;00h 28m 22s;Izpildītie
"﻿""2019-07-19 16:22:35""";Auto novietošana;Neatļauta novietošana;;otrs auto gandrīz priekšā izbraucamajam ceļam no pagalma. iedzivotājiem izbraucot, rodas bīstamas situācijas.;Cēsu novada Pašvaldības policija;01h 16m 14s;Izpildītie
"﻿""2019-07-20 09:52:19""";Sabiedriskā kārtība;Tirdzniecība;Bojāta apmale;Organizējot pilsētas svētku tirdzniecību Rīgas ielā, nav ņemts vērā pastāvīgo tirgotāju intereses, kā arī nav saskaņota tirdzniecības kioska novietošana aizsedzot pastāvīgā veikala reklāmas logu un ieeju. ;Cēsu novada Pašvaldības policija;838h 59m 59s;Izpildītie
"﻿""2019-07-20 10:51:55""";Auto novietošana;Neatļauta novietošana;;zaļa zona;Cēsu novada Pašvaldības policija;04h 18m 10s;Izpildītie
"﻿""2019-07-20 13:30:26""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Apsauka garam ejoso publiku;Cēsu novada Pašvaldības policija;01h 23m 57s;Izpildītie
"﻿""2019-07-20 14:11:06""";Auto novietošana;Neatļauta novietošana;;?????;Cēsu novada Pašvaldības policija;01h 03m 54s;Izpildītie
"﻿""2019-07-20 20:48:19""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Nav ceļa zīmes;Ir jautājums par šo stāvlaukumu. (Pie Līvu laukuma) Līdz pilsētas svētkiem viss bija kārtiba, bet šodien paradijās situācija, ka ir ieliktas lapiņas logā, lai atbrīvo teritoriju, jo ir privātīpašums. Braucot mājas jsu bija uzlīmetas lapiņas un uzlikta zīme uz sienas,  ka šis ir privātīpašums. Esmu Lielās Līvu ielas iedzīvotājs un trīs gadus šeit tiek likts auto. Tad ir jautājums, kur likt auto, ja uz ielas to nevar darīt? ;Cēsu novada Pašvaldības policija;00h 11m 17s;Izpildītie
"﻿""2019-07-21 21:21:21""";Vide;Nesakopta teritorija;Nolūzis koks (bīstams koks);Labdien!Lienes ielā 12, Cēsīs tiek dedzināti nezināmas izcelsmes atkritumi. Dūmi piesārņo visu apkārtējo teritoriju, t.sk. dzīvojamās telpas. ;Cēsu novada Pašvaldības policija;10h 10m 44s;Izpildītie
"﻿""2019-07-22 08:26:31""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Salūzušas kanalizācijas restes ielas kreisajā pusē, kur parko mašīnas. ;Cēsu novada Komunālā nodaļa;00h 19m 47s;Izpildītie
"﻿""2019-07-22 11:22:57""";Sabiedriskā kārtība;Atkritumi;Nedarbojas luksofors;būvgruži, nenopļauts zāliens. Bardaks pilsētas centrā , daudzdzīvokļu nama pagalmā. Bīstami bērniem.;Cēsu novada Pašvaldības policija;00h 26m 22s;Izpildītie
"﻿""2019-07-22 18:49:57""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;šobrīd dzer un met tukšas pudeles turpat blakus;Cēsu novada Pašvaldības policija;00h 37m 11s;Izpildītie
"﻿""2019-07-23 15:13:02""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;ceļa segums, izskalots, nestabils- viss satecējis zaļajā zonā- kovārņu iela 9, 10. ;Cēsu novada Komunālā nodaļa;169h 34m 37s;Izpildītie
"﻿""2019-07-23 15:15:39""";Ielas un ceļi;Ceļa nomale;;ceļa segums- ar lietus gazem satek zaļajā zonā;Cēsu novada Komunālā nodaļa;169h 30m 49s;Izpildītie
"﻿""2019-07-23 15:17:22""";Ielas un ceļi;Ceļa segums;;BEDRES uz braucamā ceļa segums izskalots;Cēsu novada Komunālā nodaļa;65h 15m 36s;Izpildītie
"﻿""2019-07-23 20:58:21""";Vide;Nesakopta teritorija;Nolūzis koks (bīstams koks);Lapsu un Vaives ielas krustojuma zemes gabalā atkal zied latvāņi. Šogad 5 reizes vairāk kā pagājušā gadā!!!!;Cēsu novada Pašvaldības policija;11h 43m 43s;Izpildītie
"﻿""2019-07-25 18:15:19""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Ceļa segums ir sliktā stāvoklī un ir nepieciešama greiderēšana. Es jums rakstīju pagājušo nedēļ un teicāt, ka tajā nedēļa tiks nogreiderēts.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Izpildītie
"﻿""2019-07-26 14:24:03""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Rotaļu laukumā ir lietas, kas jānostiprina un jāpārbauda.;Cēsu novada Pašvaldības policija;98h 28m 09s;Izpildītie
"﻿""2019-07-26 17:43:31""";Ielas un ceļi;Ceļa segums;Izsvīdis melnais segums;Bīstami pārvietoties ar skrituļslidām, jo bedre ir tikai aizbērta ar akmeņiem, bet asfalts nav uzliets jau mēnesi. Apkārt bedrei asfalts turpina ieliekties, draudot ielūzt atkal. Tas ir Eiropas Savienības līdzfinansējuma ceļš.. ;Cēsu novada Komunālā nodaļa;94h 57m 08s;Izpildītie
"﻿""2019-07-28 13:37:44""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Labdien,nepieciešams ceļu uz Rūcam avotu nogreiderēt,izveidojušās ļoti daudz bedres.;Cēsu novada Komunālā nodaļa;51h 05m 21s;Izpildītie
"﻿""2019-07-29 20:00:02""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;Krasta iela, Siļķupītes caurteka. Bīstams izskalojums.;Cēsu novada Komunālā nodaļa;20h 37m 59s;Izpildītie
"﻿""2019-07-30 08:18:54""";Būvniecība;Būvniecības noteikumu pārkāpumi;Atvērtas staba komunikāciju durvis;Vērojamas patvaļīgas būvniecības pazīmes ceļam, kas caur Lejas Libertiem vijas uz Nekta. Tas nav izbūvēts atbilstoši būvprojektam un, tajā skaitā, sastāv no rupjiem būvgružiem. Pārkāpts Būvniecības likums. Sīkāki apstākļi aprakstīti manā 27.06.2018. iesniegumā (reģ. ar Nr.*/****);Cēsu novada Būvvalde;838h 59m 59s;Pieņemtie
"﻿""2019-07-30 11:56:39""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Būvgruži.;Cēsu novada Pašvaldības policija;23h 14m 36s;Izpildītie
"﻿""2019-08-01 11:44:19""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Nu nav gan tas bojājums novērsts;Cēsu novada Pašvaldības policija;23h 29m 55s;Izpildītie
"﻿""2019-08-01 11:45:34""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Jāpievelk skrūves ;Cēsu novada Pašvaldības policija;460h 40m 10s;Izpildītie
"﻿""2019-08-01 11:46:27""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Šeit ar nav nostiprināts ;Cēsu novada Pašvaldības policija;460h 33m 20s;Izpildītie
"﻿""2019-08-01 14:59:40""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;Ceļa segums - ieplūst zālienā!!!;Cēsu novada Komunālā nodaļa;98h 27m 36s;Izpildītie
"﻿""2019-08-01 15:03:47""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Ceļa augstums ir uzaudzēts jau aptuveni 40 cm. Cik augstu audzēsiet? Uzberot, pielīdzot cela segumu, to nenostiprinot nekas nemainīsies.;Cēsu novada Komunālā nodaļa;98h 20m 12s;Izpildītie
"﻿""2019-08-01 17:28:05""";Vide;Infrastruktūras bojājumi;;Ūdens krāns nefunkcionē tā kā vajadzētu. Esot bijis bojāts jau pilsētas svētkos.;Cēsu novada Pašvaldības policija;17h 42m 27s;Izpildītie
"﻿""2019-08-01 21:24:53""";Auto novietošana;Neatļauta novietošana;;Vai daudzivoklu mājas pagalmā ir atļauta firmas auto novietošana ar viegli uzliesmojošu saturu mašīnas kravas kastē???;Cēsu novada Pašvaldības policija;02h 07m 43s;Izpildītie
"﻿""2019-08-02 12:17:04""";Ielas un ceļi;Ceļa segums;Bedres;Sveiki , cels uz cīrulīšu dabas takām ir briesmīgs , jau vairāk ka 3 nedeēlas , bedre pie bedres , vai tiešam tūristiem jāsabojā prieks iebr;Cēsu novada Komunālā nodaļa;77h 01m 47s;Izpildītie
"﻿""2019-08-03 12:41:52""";Vide;Koki un apstādījumi;Izpostīti apstādījumi;saplīsis puķupods pie līvu laukuma strūklakas;Cēsu novada Pašvaldības policija;00h 56m 44s;Izpildītie
"﻿""2019-08-03 13:14:12""";Ielas un ceļi;Ceļa aprīkojums;;Līvu laukumā sadauzīts puķu pods;Cēsu novada Komunālā nodaļa;00h 49m 50s;Izpildītie
"﻿""2019-08-04 21:39:46""";Vide;Infrastruktūras bojājumi;;Pie kluba Fono strūklakas saplēsts puķupods ;Cēsu novada Pašvaldības policija;00h 14m 39s;Izpildītie
"﻿""2019-08-06 03:59:34""";Sabiedriskā kārtība;Dzīvnieki;;Mednieku iela 12 (no tā virziena skaņa nāk) pa naktīm smilkst un gaudo suns, visu laiku. Traucē naktsmieru. ;Cēsu novada Pašvaldības policija;03h 50m 48s;Izpildītie
"﻿""2019-08-06 10:55:56""";Ielas un ceļi;Ceļa segums;Bedres;Vai un kad ir plānots aizlāpīt bedres uz A. Kronvalda ielas?! ;Cēsu novada Komunālā nodaļa;383h 57m 32s;Izpildītie
"﻿""2019-08-06 15:56:59""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;Labdien! Uz iebrauktuves pie ēkas Pļavas iela 5 dažas minūtes iepriekš tika izspridzināta pirotehnikas kārba. ;Cēsu novada Pašvaldības policija;11h 05m 44s;Izpildītie
"﻿""2019-08-06 20:38:18""";Sabiedriskā kārtība;Dzīvnieki;;Akmens iela 2. Neizskatās vesels. Iespējams trakumsērga. Redzēts 06.08 1x ap 19.35 un 2x kādu min.pec 20.00. ;Cēsu novada Pašvaldības policija;36h 15m 29s;Izpildītie
"﻿""2019-08-09 09:05:11""";Ielas un ceļi;Ceļa segums;Bedres;Mūrlejas iela ļoti trakā stāvoklī, lielas dziļas bedres un nelīdzena virsma, daudz tūristu braukā;Cēsu novada Komunālā nodaļa;313h 41m 59s;Izpildītie
"﻿""2019-08-09 11:09:36""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Devos uz Cīrulīšu dabas takām, bet uz Mūrlejas ielas ceļa drausmīga bedre. Ar velosipēdu gandrīz apgāzos.;Cēsu novada Komunālā nodaļa;311h 41m 06s;Izpildītie
"﻿""2019-08-09 12:16:07""";Ielas un ceļi;Ceļa segums;Bedres;Labdien! Sakiet lūdzu, vai Ceriņu ielas atlikušajā daļā arī tiks atjaunots ceļa segums? ar cieņu, xxxxxx;Cēsu novada Komunālā nodaļa;268h 30m 47s;Izpildītie
"﻿""2019-08-09 21:06:56""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Rīgas ielā, pie Priedes kafē ļoti iereibis cilvēks traucē tūristus un apkārtējos.;Cēsu novada Pašvaldības policija;00h 35m 20s;Izpildītie
"﻿""2019-08-10 08:35:46""";Vide;Koki un apstādījumi;Bojāta ceļazīme;Uz Raiņa ielas pretī Rimi nogāzies koks, daļēji uz brauktuves, ietve bloķēta pilnībā.;Cēsu novada Pašvaldības policija;75h 20m 01s;Izpildītie
"﻿""2019-08-10 13:39:51""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Maija parkā bērnu laukumā, blakus vilcieniņam ir kaut kādas detaļas acīmredzot no iepriekšējām ierīcēm. Neizskatās diez ko drošas bērniem, skrienot vai basām kājām var savainoties.;Cēsu novada Pašvaldības policija;242h 37m 30s;Izpildītie
"﻿""2019-08-10 15:32:26""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;Iesaku uzstādīt informatīvu stendu pie stadiona sporta laukumā tenisa korta. Analogi ārzemju pieredzei. Gadījumā ja uz kortu gaida cilvēki maksimālais spēles laiks 1h. Ja neviens nav atnācis un negaida var spēlēt cik ilgi grib. Šobrīd ir situācija ka daži indivīdi spēlē pusdienu.;Cēsu novada Pašvaldības policija;240h 43m 19s;Izpildītie
"﻿""2019-08-11 11:03:58""";Ielas un ceļi;Ceļa aprīkojums;;Paldies par jauno velo novietni pie pašvaldības ēkas! Taču tā ir nepareizi novietota. Velo būs spiesti daļēji stāvēt uz mauriņa, jo novietne ir pārāk tuvu mauriņam. Tā ir jāpārvieto par kādiem 60cm atpakaļ, tuvāk ietvei. ;Cēsu novada Komunālā nodaļa;21h 57m 53s;Izpildītie
"﻿""2019-08-12 22:26:35""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;nedarbojas ielas apgaismojums posmā no Valmieras ielas.;Cēsu novada Komunālā nodaļa;180h 32m 19s;Izpildītie
"﻿""2019-08-12 23:35:36""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Loka ielā nedeg vairums ielu laternas.;Cēsu novada Komunālā nodaļa;179h 22m 25s;Izpildītie
"﻿""2019-08-13 08:29:23""";Auto novietošana;Neatļauta novietošana;;Jauns neatļauts stāvlaukums. ;Cēsu novada Pašvaldības policija;01h 00m 17s;Izpildītie
"﻿""2019-08-15 11:41:29""";Ielas un ceļi;Ceļa aprīkojums;;Labdien, uz Piebalgas ielas, ļoti tuvu krustojumam ar Vaļņu ielu kanalizācijas aku vāki ļoti skaļi klaudz, kad automašīnas uz tiem uzbrauc. Tie varētu būt arī nedroši. ;Cēsu novada Komunālā nodaļa;119h 15m 25s;Izpildītie
"﻿""2019-08-15 15:57:27""";Vide;Infrastruktūras bojājumi;;Mans tētis ir 1. grupas redzes invalīds un šajā vietā vairākkārt sanācis aizķerties. Līdz salabošanai palīdzētu spilgts marķējums šajā vietā;Cēsu novada Pašvaldības policija;93h 53m 17s;Izpildītie
"﻿""2019-08-15 22:12:29""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Iespējams smēķē marihuānu. Sajutu raksturīgo aromātu. Jaunieši ar velosipēdiem;Cēsu novada Pašvaldības policija;03h 05m 55s;Izpildītie
"﻿""2019-08-15 22:33:14""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Jau vairākas dienas iela nav apgaismota!;Cēsu novada Komunālā nodaļa;108h 21m 30s;Izpildītie
"﻿""2019-08-16 12:27:50""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Atkal TOPa sētnieks pielicies līdz nemaņai;Cēsu novada Pašvaldības policija;01h 35m 29s;Izpildītie
"﻿""2019-08-19 07:12:42""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Bojāta ceļa zīme;Cēsu novada Komunālā nodaļa;06h 34m 56s;Izpildītie
"﻿""2019-08-20 14:35:25""";Auto novietošana;Neatļauta novietošana;;Neatļauta mašīnu novietošana. ;Cēsu novada Pašvaldības policija;00h 08m 54s;Izpildītie
"﻿""2019-08-20 16:46:06""";Ielas un ceļi;Ceļa segums;;Asfalta segumam nepieciesami uzturēsanas darbi, plaisās iepildot izkausētu saistvielu (piķi?). Tas noversīs ielas seguma turpmāku bojāšanos. Arī citām Cēsu ielām nepieciešami šādi darbi ASAP.;Cēsu novada Komunālā nodaļa;17h 38m 33s;Izpildītie
"﻿""2019-08-22 09:44:46""";Daudzdzīvokļu namu apsaimniekošana;Ūdens apgāde un kanalizācija;Pamests transportlīdzeklis;šodien nav ūdens. Man mājās 3  bērni. plkst. 9:30 nav neviena brīdinājuma. Tikko zvanīju uz dzīvokļu pārvaldi. Jā, pārvaldnieks tikko esot izbraucis lai uzliktu paziņojumu. Vai nevarēja vakardien?? Plānotā veļas mazgāšana, ēst gatavošana nu jāatliek. nejēdzigi.;Cēsu novada Komunālā nodaļa;00h 41m 11s;Izpildītie
"﻿""2019-08-22 18:19:53""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Briežu ielas sākumā jau vairākus mēnešus nedeg laterna .;Cēsu novada Komunālā nodaļa;91h 51m 02s;Izpildītie
"﻿""2019-08-23 12:42:45""";Ielas un ceļi;Ceļa segums;Bedres;Bedres;Cēsu novada Komunālā nodaļa;01h 50m 28s;Izpildītie
"﻿""2019-08-24 08:33:27""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;pie veikala Labais L.Paegles ielā 5 divi iereibuši vīrieši lieto alkoholu, klaigā, uzmācas garāmgājējiem.;Cēsu novada Pašvaldības policija;00h 30m 03s;Izpildītie
"﻿""2019-08-25 13:51:31""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Agresīva braukšana (trokšņošana);xx-xxxx,audi A6 Avant. Lūdzu,atsūtīt Cēsu Pašvaldības policijas e-pastu,kur var nosūtīt pilnu video!;Cēsu novada Pašvaldības policija;04h 27m 42s;Izpildītie
"﻿""2019-08-27 21:54:57""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Raiņa iela 14 iekspagalma notiekas dzerstins un bļaustīšanās un mazi bērni sēž blakus un gaida kad vecāki beigs dzert un tā katru vakaru būtu vēlams atbraukt un izdzenāt pa majam;Cēsu novada Pašvaldības policija;00h 19m 58s;Izpildītie
"﻿""2019-08-28 15:09:58""";Būvniecība;Citi gadījumi;Bojāts apgaismes ķermenis;Interesē, vai šī izkārtne ir saskaņota. Izskatās diezgan svaiga, un diezgan neiederīga vecpilsētas sakoptajā tēlā. ;Cēsu novada Būvvalde;22h 49m 55s;Izpildītie
"﻿""2019-08-28 15:52:28""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Atbilde pēc labākajiem padomju standartiem! Aizej tur- nezin kur. Atnes to- nezin ko! Firmai, kas veic darbu ir nosaukums, atbildīgiem domes darbiniekiem ir vārds un uzvārds. Pārtrauciet kopēt bezsatura atbildes!;Cēsu novada Komunālā nodaļa;00h 34m 11s;Izpildītie
"﻿""2019-08-28 17:26:41""";Sabiedriskā kārtība;Atkritumi;Nedarbojas luksofors;"Gribētu vērst uzmanību mūsu jauko atpūtas vietas &quot;Karjeras&quot; apsaimniekošanu. Kamēr otrā pusē ir privāts viss un sakopts, kuršs vāc atkritumus otrā pusē? Jo vairāk te vāc, jo kāds vairāk šeit visu vienmēr izmēslo.";Cēsu novada Pašvaldības policija;01h 00m 28s;Izpildītie
"﻿""2019-08-29 19:35:58""";Vide;Infrastruktūras bojājumi;;Vandālisms. Izskatās, ka pagājušā naktī kādam nav bijis ko darīt.. ???? Žēl..;Cēsu novada Pašvaldības policija;00h 12m 09s;Izpildītie
"﻿""2019-08-30 14:55:50""";Auto novietošana;Neatļauta novietošana;;Ūdens iela neatļauta novietošana ;Cēsu novada Pašvaldības policija;00h 45m 20s;Izpildītie
"﻿""2019-08-30 21:41:32""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Posmā no Vilku līdz Vaives ielai (gar 5.bernudārzu) jau ilgāku laiku nedarbojas ielas apgaismojums.;Cēsu novada Komunālā nodaļa;84h 17m 22s;Izpildītie
"﻿""2019-08-31 18:17:05""";Vide;Infrastruktūras bojājumi;Bojāts laternas stabs;Rožu laukumā pie vēsturiskā seguma atdalījušies pakāpienu fragmenti.;Cēsu novada Pašvaldības policija;63h 39m 58s;Izpildītie
"﻿""2019-08-31 22:16:18""";Sabiedriskā kārtība;Cilvēki;Nav greiderēts;Rīgas 65 pagalmā ļoti skaļa kompānija. gribētos atvērt logu guļoša bērna istabā,bet dēļ skalajam sarunām un smiekliem, nevaru šādu greznību atļauties. lūgums ieviest kārtību. paldies.;Cēsu novada Pašvaldības policija;04h 01m 21s;Izpildītie
"﻿""2019-09-02 21:15:14""";Daudzdzīvokļu namu apsaimniekošana;Ūdens apgāde un kanalizācija;;Labvakar, Cēsu nov, Vaives pag, Krīvi, xxxxx x-x šovakar, tecinot auksto ūdeni, secinu, ka ūdens ir rūsas krāsā ( krāsa nav no rozēm)nav 1x;Cēsu novada Komunālā nodaļa;12h 49m 50s;Izpildītie
"﻿""2019-09-02 22:23:06""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Glūdas ielā nedeg 2 lampas un  1 raustas! 1pirms tiltina.Otra pirms trepem un raustas trepju vidu!;Cēsu novada Komunālā nodaļa;11h 32m 04s;Izpildītie
"﻿""2019-09-02 23:11:34""";Sabiedriskā kārtība;Dzīvnieki;Bojāta sadalošā barjera;Šis suns klaino pa Kronvalda ielu jau labu laiku. Divas naktis mums mājai sētas vārtus atlauž vaļā. Traucē naks mieru, jo vārtus lauž um taisa lielu troksni. Dienas laika brīvi pārvietojas mūsu dārzā. ;Cēsu novada Pašvaldības policija;00h 17m 37s;Izpildītie
"﻿""2019-09-03 11:02:48""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Didzi Ozoliņ, vai 10 dienas ir pārāk īss laiks, lai ieskrūvētu spuldzi Briežu ielas laternā?;Cēsu novada Komunālā nodaļa;02h 25m 35s;Izpildītie
"﻿""2019-09-03 16:04:54""";Apgaismojums;Ielu apgaismojums;;Paldies! Beidzot atbildējāt pēc būtības.;Cēsu novada Komunālā nodaļa;00h 02m 53s;Izpildītie
"﻿""2019-09-04 21:28:32""";Auto novietošana;Neatļauta novietošana;;Neatļauti braukšanai pretējā virzienā novietota Poršē markas automašīna ar numurzīmi xxx.;Cēsu novada Pašvaldības policija;00h 45m 31s;Izpildītie
"﻿""2019-09-04 21:30:03""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Nedarbojas lielākā daļa ielas apgaismes elementu. ;Cēsu novada Komunālā nodaļa;15h 35m 20s;Izpildītie
"﻿""2019-09-06 23:54:14""";Sabiedriskā kārtība;Cilvēki;Trokšņo;Sadzērušies jaunieši. DODGE GRAND CARAVAN xx-xxxx izmeta alus pudeli pagalmā. Urinē pie daudzzīv ēkas. Aizbrauca prom. Akmens iela 2;Cēsu novada Pašvaldības policija;06h 06m 04s;Izpildītie
"﻿""2019-09-07 15:53:22""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Akmens 4-xx. Pusis stiprā reibumā. Visu dienu lieto alko. Izskatās, ka tur arī nepilngadīgas personas. Smēķē. Piemēslo pagalmu;Cēsu novada Pašvaldības policija;01h 02m 23s;Izpildītie
"﻿""2019-09-10 15:02:52""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes ķermenis;Rīdzenes ciemā. Ezera ielā nolūzusi apgaismojuma lampa.;Cēsu novada Komunālā nodaļa;19h 38m 54s;Izpildītie
"﻿""2019-09-10 18:30:00""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Tikko smagais auto ar piekabi x-xxx nemācēja izņemt likumu un notrieca barjeru Pētera un Gaujas ielas krustojuma.;Cēsu novada Komunālā nodaļa;13h 48m 09s;Izpildītie
"﻿""2019-09-11 11:55:37""";Vide;Nesakopta teritorija;Nesakopts īpašums;labdien, vai būtu iespējams publiskajā bērnu laukumiņā- Maija parkā nomainīt smiltis, vai tās izsijāt no gružiem?;Cēsu novada Pašvaldības policija;28h 36m 48s;Izpildītie
"﻿""2019-09-11 12:31:10""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Nav ceļa zīmes;Lūgums pastiprinaati pievērst uzmanību gājēju pārejām pie Solo veikala.  Īpaši pie Pepko pārejas uz Poruka ielas. Autovadiitāji regulāri nelaiž gājējus uz pārejas un pārkāpj ātrumu. Uz klusās Vaives ielas tiek likts radars kur ir saliidzinoši reta satiksme,  bet pie Solo veikala uz šosejas var nesties ! ;Cēsu novada Pašvaldības policija;00h 26m 02s;Izpildītie
"﻿""2019-09-13 08:34:27""";Ielas un ceļi;Ceļa segums;Bedres;Joprojām bedres;Cēsu novada Komunālā nodaļa;151h 07m 34s;Izpildītie
"﻿""2019-09-14 17:48:06""";Ielas un ceļi;Ceļa aprīkojums;;Torņa ielā pie ieejas Pils dārzā ceļazīme  ieaugusi krūmos. ;Cēsu novada Komunālā nodaļa;65h 44m 55s;Izpildītie
"﻿""2019-09-14 18:24:50""";Sabiedriskā kārtība;Dzīvnieki;Bojāta sadalošā barjera;Labvakar! Par šo suni esam izrakstijuši rakstisku iesniegumu, bet suns no Ausekļa ielas xx tomēr turpina klaiņot. Vēl reiz lūdzam palīdzību ar suņa izķeršanu un saimnieka saukšanu pie atbildības.;Cēsu novada Pašvaldības policija;00h 34m 15s;Izpildītie
"﻿""2019-09-14 20:51:24""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Sveiki! Vēlos informēt, ka pie Gaujas iela 2 nama nedeg ielas apgaismojums. Par šo jau divus mēnešus iepriekš ziņoju telefoniski. Kā arī vēlos informēt, ka ap Līvu laukumu nedeg 7 - 8 lukturi un Palasta, Gaujas ielu krustojumā no četriem lukturiem deg tikai viens.;Cēsu novada Komunālā nodaļa;62h 39m 30s;Izpildītie
